schema_name_source,schema_name,column_name_source,column_name,group,description,delete,disposition,column_type,source,version_added,is_redcap_calculation,date_shift
acoustic_task_schema,acoustic_task,acoustic_task_cohort,acoustic_task_cohort,task,Acoustic Task Cohort,NO,release,VARIABLE,redcap,pre-v4,NO,NO
acoustic_task_schema,acoustic_task,acoustic_task_completed_at,acoustic_task_completed_at,task,Acoustic Task Completed At,YES,internal,VARIABLE,redcap,v4,NO,YES
acoustic_task_schema,acoustic_task,acoustic_task_duration,acoustic_task_duration,task,Acoustic Task Duration (seconds),NO,release,VARIABLE,redcap,pre-v4,NO,NO
acoustic_task_schema,acoustic_task,acoustic_task_id,acoustic_task_id,task,Acoustic Task ID,NO,release,VARIABLE,redcap,pre-v4,NO,NO
acoustic_task_schema,acoustic_task,acoustic_task_language,acoustic_task_language,task,Acoustic Task - Language,NO,release,VARIABLE,redcap,v4,NO,NO
acoustic_task_schema,acoustic_task,acoustic_task_name,acoustic_task_name,task,Acoustic Task Name,NO,release,VARIABLE,redcap,pre-v4,NO,NO
acoustic_task_schema,acoustic_task,acoustic_task_origin,acoustic_task_origin,task,Acoustic Task - origin,NO,release,VARIABLE,redcap,v4,NO,NO
acoustic_task_schema,acoustic_task,acoustic_task_session_id,acoustic_task_session_id,task,Session ID,NO,release,VARIABLE,redcap,pre-v4,NO,NO
acoustic_task_schema,acoustic_task,acoustic_task_started_at,acoustic_task_started_at,task,Acoustic Task Started At,YES,internal,VARIABLE,redcap,v4,NO,YES
acoustic_task_schema,acoustic_task,acoustic_task_status,acoustic_task_status,task,Acoustic Task Status,NO,release,VARIABLE,redcap,pre-v4,NO,NO
acoustic_task_schema,acoustic_task,acoustic_task_via,acoustic_task_via,task,Acoustic Task - via,NO,release,VARIABLE,redcap,v4,NO,NO
adhd_adult_schema,adhd_adult,adhd_completed_at,adhd_completed_at,questionnaire,Questionnaire Completed At,YES,internal,VARIABLE,redcap,v4,NO,YES
adhd_adult_schema,adhd_adult,adhd_duration,adhd_duration,questionnaire,Questionnaire Duration (seconds),NO,release,VARIABLE,redcap,pre-v4,NO,NO
adhd_adult_schema,adhd_adult,adhd_language,adhd_language,questionnaire,ADHD Adult - Language,NO,release,VARIABLE,redcap,v4,NO,NO
adhd_adult_schema,adhd_adult,adhd_origin,adhd_origin,questionnaire,ADHD Adult - Origin,NO,release,VARIABLE,redcap,v4,NO,NO
adhd_adult_schema,adhd_adult,adhd_session_id,adhd_session_id,questionnaire,Session ID,NO,release,VARIABLE,redcap,pre-v4,NO,NO
adhd_adult_schema,adhd_adult,adhd_started_at,adhd_started_at,questionnaire,Questionnaire Started At,YES,internal,VARIABLE,redcap,v4,NO,YES
adhd_adult_schema,adhd_adult,adhd_via,adhd_via,questionnaire,ADHD Adult - via,NO,release,VARIABLE,redcap,v4,NO,NO
adhd_adult_schema,adhd_adult,avoidance,avoidance,questionnaire,"When you have a task that requires a lot of thought, how often do you avoid or delay getting started?",NO,release,VARIABLE,redcap,pre-v4,NO,NO
adhd_adult_schema,adhd_adult,careless,careless,questionnaire,How often do you make careless mistakes when you have to work on a boring or difficult project?,NO,release,VARIABLE,redcap,pre-v4,NO,NO
adhd_adult_schema,adhd_adult,difficulty_attention,difficulty_attention,questionnaire,How often do you have difficulty keeping your attention when you are doing boring or repetitive work?,NO,release,VARIABLE,redcap,pre-v4,NO,NO
adhd_adult_schema,adhd_adult,difficulty_concentrating,difficulty_concentrating,questionnaire,"How often do you have difficulty concentrating on what people say to you, even when they are speaking to you directly?",NO,release,VARIABLE,redcap,pre-v4,NO,NO
adhd_adult_schema,adhd_adult,difficulty_unwinding,difficulty_unwinding,questionnaire,How often do you have difficulty unwinding and relaxing when you have time to yourself?,NO,release,VARIABLE,redcap,pre-v4,NO,NO
adhd_adult_schema,adhd_adult,difficulty_waiting,difficulty_waiting,questionnaire,How often do you have difficulty waiting your turn in situations when turn taking is required?,NO,release,VARIABLE,redcap,pre-v4,NO,NO
adhd_adult_schema,adhd_adult,distracted,distracted,questionnaire,How often are you distracted by activity or noise around you?,NO,release,VARIABLE,redcap,pre-v4,NO,NO
adhd_adult_schema,adhd_adult,fidget,fidget,questionnaire,How often do you fidget or squirm with your hands or feet when you have to sit down for a long time?,NO,release,VARIABLE,redcap,pre-v4,NO,NO
adhd_adult_schema,adhd_adult,finish_other_sent,finish_other_sent,questionnaire,"When you're in a conversation, how often do you find yourself finishing the sentences of the people you are talking to, before they can finish them themselves?",NO,release,VARIABLE,redcap,pre-v4,NO,NO
adhd_adult_schema,adhd_adult,interrupt_others,interrupt_others,questionnaire,How often do you interrupt others when they are busy?,NO,release,VARIABLE,redcap,pre-v4,NO,NO
adhd_adult_schema,adhd_adult,misplace,misplace,questionnaire,How often do you misplace or have difficulty finding things at home or at work?,NO,release,VARIABLE,redcap,pre-v4,NO,NO
adhd_adult_schema,adhd_adult,overly_active,overly_active,questionnaire,"How often do you feel overly active and compelled to do things, like you were driven by a motor?",NO,release,VARIABLE,redcap,pre-v4,NO,NO
adhd_adult_schema,adhd_adult,remain_seated,remain_seated,questionnaire,How often do you leave your seat in meetings or other situations in which you are expected to remain seated?,NO,release,VARIABLE,redcap,pre-v4,NO,NO
adhd_adult_schema,adhd_adult,remembering_appt,remembering_appt,questionnaire,How often do you have problems remembering appointments or obligations?,NO,release,VARIABLE,redcap,pre-v4,NO,NO
adhd_adult_schema,adhd_adult,restless,restless,questionnaire,How often do you feel restless or fidgety?,NO,release,VARIABLE,redcap,pre-v4,NO,NO
adhd_adult_schema,adhd_adult,talking_too_much,talking_too_much,questionnaire,How often do you find yourself talking too much when you are in social situations?,NO,release,VARIABLE,redcap,pre-v4,NO,NO
adhd_adult_schema,adhd_adult,things_in_order,things_in_order,questionnaire,How often do you have difficulty getting things in order when you have to do a task that requires organization?,NO,release,VARIABLE,redcap,pre-v4,NO,NO
adhd_adult_schema,adhd_adult,wrapping_up,wrapping_up,questionnaire,"How often do you have trouble wrapping up the final details of a project, once the challenging parts have been done?",NO,release,VARIABLE,redcap,pre-v4,NO,NO
airway_stenosis_schema,airway_stenosis,diagnosis_as_as,diagnosis_as_as,diagnosis,Does this participant have audible stridor at rest or when talking?,NO,release,VARIABLE,redcap,pre-v4,NO,NO
airway_stenosis_schema,airway_stenosis,diagnosis_as_as_c,diagnosis_as_as_c,diagnosis,Is the stridor:,NO,release,VARIABLE,redcap,pre-v4,NO,NO
airway_stenosis_schema,airway_stenosis,diagnosis_as_as_s,diagnosis_as_as_s,diagnosis,Can you subjectively classify the severity of the stridor?,NO,release,VARIABLE,redcap,pre-v4,NO,NO
airway_stenosis_schema,airway_stenosis,diagnosis_as_ds,diagnosis_as_ds,diagnosis,Disease Subtype,NO,release,VARIABLE,redcap,pre-v4,NO,NO
airway_stenosis_schema,airway_stenosis,diagnosis_as_ds_ac,diagnosis_as_ds_ac,diagnosis,Grade of Stenosis (Aziz Classification of Supraglottic Stenosis),NO,release,VARIABLE,redcap,pre-v4,NO,NO
airway_stenosis_schema,airway_stenosis,diagnosis_as_ds_ac_grade_4,diagnosis_as_ds_ac_grade_4,diagnosis,Grade of Stenosis (Aziz Classification of Supraglottic Stenosis),NO,release,VARIABLE,redcap,pre-v4,NO,NO
airway_stenosis_schema,airway_stenosis,diagnosis_as_ds_ac_ref,diagnosis_as_ds_ac_ref,diagnosis,"Grade of Stenosis (Aziz Classification of Supraglottic Stenosis)
Picture for reference",YES,drop,VARIABLE,redcap,pre-v4,NO,NO
airway_stenosis_schema,airway_stenosis,diagnosis_as_ds_agw,diagnosis_as_ds_agw,diagnosis,Anterior Glottic Web classification (Cohen),NO,release,VARIABLE,redcap,pre-v4,NO,NO
airway_stenosis_schema,airway_stenosis,diagnosis_as_ds_bc,diagnosis_as_ds_bc,diagnosis,Degree of Stenosis (Bogdasarian Classification),NO,release,VARIABLE,redcap,pre-v4,NO,NO
