variable,field_type,validation,identifier
acid_reflux,checkbox,,
acoustic_task_cohort,text,,
acoustic_task_completed_at,text,,y
acoustic_task_duration,text,number,
acoustic_task_id,text,,
acoustic_task_language,radio,,
acoustic_task_name,text,,
acoustic_task_origin,radio,,
acoustic_task_session_id,text,,
acoustic_task_started_at,text,,y
acoustic_task_status,radio,,
acoustic_task_via,radio,,
active,radio,,
add_adhd,radio,,
adhd_completed_at,text,,y
adhd_duration,text,number,
adhd_language,radio,,
adhd_med_hist_psychological,checkbox,,
adhd_origin,radio,,
adhd_session_id,text,,
adhd_started_at,text,,y
adhd_via,radio,,
afraid,radio,,
afraid_of_things,radio,,
age,text,,
age_start_smoking,text,number,
age_started_using_nicotine_products,text,number,
age_stop_smoking,text,number,
age_stopped_using_nicotine_products,text,number,
agitated,radio,,
airway_stenosis,radio,,
airway_stenosis_med_hist_throat,checkbox,,
airway_surgery_reconstruction,radio,,
alcohol_amt,radio,,
alcohol_amt_v2,radio,,
alcohol_drinks,radio,,
alcohol_freq,radio,,
alcohol_freq_v2,radio,,
alcohol_rehab,radio,,
alcohol_subst_abuse,radio,,
alcohol_substance_use_disorder,checkbox,,
alcohol_today,yesno,,
alcohol_today_v2,radio,,
alcohol_yn,radio,,
alert,radio,,
allergy_medications,radio,,
als,radio,,
alz_dementia_mci,radio,,
analgesics,radio,,
androgenic_steroids,radio,,
anti_anxiety_medication,radio,,
antibiotics,radio,,
anticholergenics,radio,,
antidepressants,radio,,
antiepileptics,radio,,
anxiety_disorder,checkbox,,
anxiety_nervousness,radio,,
any_dental_condition,radio,,
any_dental_condition_specify,text,,
any_infectious_disease,radio,,
any_infectious_disease_specify,text,,
api_updates_on_behalf_of,text,email,y
apraxia_of_speech,radio,,
asd,radio,,
asd_med_hist_psychological,checkbox,,
ashamed,radio,,
asian_race,checkbox,,
ask_whats_wrong_voice,radio,,
assistance_programs_ca,checkbox,,
assistance_programs_usa,checkbox,,
asthma,radio,,
asthma_med_hist_lung,radio,,
ataxia,radio,,
atrial_fibrillation,radio,,
attentive,radio,,
autism,radio,,
average_number_of_uses_each_day,text,number,
average_used_nicotine_over_entire_time,radio,,
avoidance,radio,,
avoiding_reminders,radio,,
avoiding_situations,radio,,
benign_cord_lesion,radio,,
bipolar,radio,,
bipolar_disorder,checkbox,,
black_race,checkbox,,
blood_pressure_medications,radio,,
botox_injections,checkbox,,
bpd,radio,,
bpd_med_hist_psychological,checkbox,,
brain_cancer,checkbox,,
brain_tumor,radio,,
breathe_today,radio,,
breathe_today_difficulty,radio,,
bronchiectasis,radio,,
c_pap,checkbox,,
caffeine_intake,text,number,
caffeine_intake_today,text,number,
canadian_race,checkbox,,
cant_control_worry,radio,,
cardiac_condition,text,,
careless,radio,,
