country,region,timezone
US,AR,America/Chicago
US,CA,America/Los_Angeles
US,CO,America/Denver
US,CT,America/New_York
US,DC,America/New_York
US,DE,America/New_York
US,GA,America/New_York
US,IA,America/Chicago
US,IL,America/Chicago
US,LA,America/Chicago
US,MA,America/New_York
US,MD,America/New_York
US,ME,America/New_York
US,MN,America/Chicago
US,MO,America/Chicago
US,MS,America/Chicago
US,MT,America/Denver
US,NC,America/New_York
US,NH,America/New_York
US,NJ,America/New_York
US,NM,America/Denver
US,NY,America/New_York
US,OH,America/New_York
US,OK,America/Chicago
US,PA,America/New_York
US,RI,America/New_York
US,SC,America/New_York
US,UT,America/Denver
US,VA,America/New_York
US,VT,America/New_York
US,WA,America/Los_Angeles
US,WI,America/Chicago
US,WV,America/New_York
US,WY,America/Denver
CA,AB,America/Edmonton
CA,MB,America/Winnipeg
CA,NB,America/Moncton
CA,PE,America/Halifax
CA,YT,America/Whitehorse
